Citation_ID,Authors,Year,Title,Journal,Research_Type,Population_Type,Sample_Size,Study_Type,Study_Design,MP_Type,MP_Size,MP_Concentration,Exposure_Route,Exposure_Duration,Health_Outcomes,Key_Findings,Study_Quality,Geographic_Location,Full_Citation
1,Abimbola I,2024,In-situ detection of microplastics in the aquatic environment: A systematic literature review,Sci Total Environ,Review,Environmental,-,Systematic Review,-,-,-,-,-,-,-,-,-,Abimbola I, McAfee M, Creedon L, Gharbia S. In-situ detection of microplastics in the aquatic environment: A systematic literature review. Sci Total Environ. 2024;934:173111.
2,Ali-Hassanzadeh M,2025,The effects of exposure to microplastics on female reproductive health and pregnancy outcomes: A systematic review and meta-analysis,Reprod Toxicol,Review,Human,-,Systematic Review with Meta-analysis,-,-,-,-,-,-,-,-,-,Ali-Hassanzadeh M, Arefinia N, Ghoreshi ZA, Askarpour H, Mashayekhi-Sardoo H. The effects of exposure to microplastics on female reproductive health and pregnancy outcomes: A systematic review and meta-analysis. Reprod Toxicol. 2025;135:108932.
3,Anene DI,2025,Microplastics and chemical additives from disposable face masks: Environmental, human health and behavioural impacts,Sci Total Environ,Experimental,Environmental/Human,,-,-,PE,PPE (face mask fragments),,-,-,,-Ocean contamination,Behavioural impacts identified,Sci Total Environ,Anene DI, Beltran M, Tjahjono B, Schultz A, McKenzie M, Stevanovic S, et al. Microplastics and chemical additives from disposable face masks: Environmental, human health and behavioural impacts. Sci Total Environ. 2025;973:179079.
4,Arpia AA,2021,Microplastic degradation as a sustainable concurrent approach for producing biofuel and obliterating hazardous environmental effects: A state-of-the-art review,J Hazard Mater,Review,Environmental,-,Review,-,-,-,-,-,-,Biofuel production,-,-,Arpia AA, Chen WH, Ubando AT, Naqvi SR, Culaba AB. Microplastic degradation as a sustainable concurrent approach for producing biofuel and obliterating hazardous environmental effects: A state-of-the-art review. J Hazard Mater. 2021;418:126381.
5,Bayer A,2025,Trace metals associated with microplastics in the municipal and industrial wastewater treatment plants: A review,Mar Pollut Bull,Review,Environmental,-,Review,-,-,-,-,-,-,Wastewater treatment,-,-,Bayer A, Issatkulova A, Keshav V, Bronnimann S, Vodulevets N, Jachinski L. Trace metals associated with microplastics in the municipal and industrial wastewater treatment plants: A review. Mar Pollut Bull. 2025;207:117028.
6,Bhuyan MS,2024,Microplastics occurrence in sea cucumbers and impacts on sea cucumbers & human health: A systematic review,Sci Total Environ,Review,Marine/Animal,-,Systematic Review,-,1-5mm,,-,-,Ingestion,-,Health impacts on marine species,-,-,Bhuyan MS, Jenzri M, Pandit D, Adikari D, Alam MW, Kunda M. Microplastics occurrence in sea cucumbers and impacts on sea cucumbers & human health: A systematic review. Sci Total Environ. 2024;951:175792.
7,Cao ND,2024,Microplastics contamination in water supply system and treatment processes,Sci Total Environ,Experimental,Environmental,-,Field study,-,PP,PE,PET,<10um,<20um,-,-,Ingestion,,Water contamination assessed,-,-,Cao ND, Vo DT, Pham MD, Nguyen VT, Nguyen TB, Le LT, et al. Microplastics contamination in water supply system and treatment processes. Sci Total Environ. 2024;926:171793.
8,Chartres N,2024,Effects of Microplastic Exposure on Human Digestive, Reproductive, and Respiratory Health: A Rapid Systematic Review,Environ Sci Technol,Review,Human,-,Systematic Review,-,-,-,-,-,-,Human health impacts,Multiple routes,-,-,Chartres N, Cooper CB, Bland G, Pelch KE, Gandhi SA, BakenRa A, et al. Effects of Microplastic Exposure on Human Digestive, Reproductive, and Respiratory Health: A Rapid Systematic Review. Environ Sci Technol. 2024;58(52):22843-64.
9,Chen J,2024,Effects of micro/nanoplastics on oxidative damage and serum biochemical parameters in rats and mice: a meta-analysis,Environ Geochem Health,Review,Animal,,-Meta-analysis,,PS,PE,PET,,10ug/ml,,Oral,,Oxidative stress, inflammation,Both species affected,-,-,Chen J, Qi R, Cheng Y, Wang L, Cao X. Effects of micro/nanoplastics on oxidative damage and serum biochemical parameters in rats and mice: a meta-analysis. Environ Geochem Health. 2024;46(6):197.
10,Chengappa SK,2023,Microplastic content of over-the-counter toothpastes - a systematic review,F1000Res,Review,Environmental/Consumer,-,Systematic Review,-,-,-,-,-,-,Toothpaste contamination,-,-,Chengappa SK, Rao A, K SA, Jodalli PS, Shenoy Kudpi R. Microplastic content of over-the-counter toothpastes - a systematic review. F1000Res. 2023;12:390.
11,Cristaldi A,2020,Efficiency of Wastewater Treatment Plants (WWTPs) for Microplastic Removal: A Systematic Review,Int J Environ Res Public Health,Review,Environmental,-,Systematic Review,-,PP,PE,PET,1-5mm,Enable,-,-,Treatment efficiency,-,-,Cristaldi A, Fiore M, Zuccarello P, Oliveri Conti G, Grasso A, Nicolosi I, et al. Efficiency of Wastewater Treatment Plants (WWTPs) for Microplastic Removal: A Systematic Review. Int J Environ Res Public Health. 2020;17(21).
12,da Silva MRF,2024,Exploring biodegradative efficiency: a systematic review on the main microplastic-degrading bacteria,Front Microbiol,Review,Environmental/Microbial,-,Systematic Review,-,-,-,-,-,-,Biodegradation bacteria,-,-,da Silva MRF, Souza KS, Motteran F, de Araújo LCA, Singh R, Bhadouria R, et al. Exploring biodegradative efficiency: a systematic review on the main microplastic-degrading bacteria. Front Microbiol. 2024;15:1360844.
13,Danopoulos E,2020,Microplastic Contamination of Seafood Intended for Human Consumption: A Systematic Review and Meta-Analysis,Environ Health Perspect,Review,Food/Human,-,Systematic Review with Meta-analysis,,PS,PE,-,-,-,-,Human consumption,-,-,Danopoulos E, Jenner LC, Twiddy M, Rotchell JM. Microplastic Contamination of Seafood Intended for Human Consumption: A Systematic Review and Meta-Analysis. Environ Health Perspect. 2020;128(12):126002.
14,Doshi M,2024,A systematic review on microplastic contamination in marine Crustacea and Mollusca of Asia: Current scenario, concentration, characterization, polymeric risk assessment, and future Prospectives,Water Environ Res,Review,Marine/Animal,-,Systematic Review,-,PP,PE,PET,0.1-5mm,-,-,-,-,Asian marine species,-,-,Doshi M, Rabari V, Patel A, Yadav VK, Sahoo DK, Trivedi J. A systematic review on microplastic contamination in marine Crustacea and Mollusca of Asia: Current scenario, concentration, characterization, polymeric risk assessment, and future Prospectives. Water Environ Res. 2024;96(5):e11029.
15,Eberhard T,2024,Systematic review of microplastics and nanoplastics in indoor and outdoor air: identifying a framework and data needs for quantifying human inhalation exposures,J Expo Sci Environ Epidemiol,Review,Environmental/Human,-,Systematic Review,-,-,-,-,-,-,Air contamination,-,-,Eberhard T, Casillas G, Zarus GM, Barr DB. Systematic review of microplastics and nanoplastics in indoor and outdoor air: identifying a framework and data needs for quantifying human inhalation exposures. J Expo Sci Environ Epidemiol. 2024;34(2):185-96.
16,Egbuna C,2021,Emerging pollutants in Nigeria: A systematic review,Environ Toxicol Pharmacol,Review,Environmental,-,Systematic Review,-,-,-,-,-,-,Pollutants assessment,-,-,Egbuna C, Amadi CN, Patrick-Iwuanyanwu KC, Ezzat SM, Awuchi CG, Ugonwa PO, et al. Emerging pollutants in Nigeria: A systematic review. Environ Toxicol Pharmacol. 2021;85:103638.
17,Feng Q,2023,Identification of the driving factors of microplastic load and morphology in estuaries for improving monitoring and management strategies: A global meta-analysis,Environ Pollut,Review,Environmental,-,Meta-analysis,-,Multiple,0.1-5mm,-,-,-,-,Estuary monitoring,-,-,Feng Q, An C, Chen Z, Lee K, Wang Z. Identification of the driving factors of microplastic load and morphology in estuaries for improving monitoring and management strategies: A global meta-analysis. Environ Pollut. 2023;333:122014.
18,Feng Y,2023,A systematic review of the impacts of exposure to micro- and nano-plastics on human tissue accumulation and health,Eco Environ Health,Review,Human,-,Systematic Review,-,-,-,-,-,-,Tissue accumulation,-,-,Feng Y, Tu C, Li R, Wu D, Yang J, Xia Y, et al. A systematic review of the impacts of exposure to micro- and nano-plastics on human tissue accumulation and health. Eco Environ Health. 2023;2(4):195-207.
19,Ge Y,2023,The hepatotoxicity assessment of micro/nanoplastics: A preliminary study to apply the adverse outcome pathways,Sci Total Environ,Review,Animal,-,Review,-,PS,PE,,-,-,Oral,-,Hepatotoxicity,AOAP framework applied,-,-,Ge Y, Yang S, Zhang T, Wan X, Zhu Y, Yang F, et al. The hepatotoxicity assessment of micro/nanoplastics: A preliminary study to apply the adverse outcome pathways. Sci Total Environ. 2023;902:165659.
20,Gopinath PM,2022,Plastic particles in medicine: A systematic review of exposure and effects to human health,Chemosphere,Review,Human/Medical,-,Systematic Review,-,-,-,-,-,-,Medical contamination,-,-,Gopinath PM, Parvathi VD, Yoghalakshmi N, Kumar SM, Athulya PA, Mukherjee A, et al. Plastic particles in medicine: A systematic review of exposure and effects to human health. Chemosphere. 2022;303(Pt 3):135227.
21,Gurumoorthi K,2023,Recent trends on microplastic abundance and risk assessment in coastal Antarctica: Regional meta-analysis,Environ Pollut,Review,Environmental,-,Meta-analysis,-,Multiple,0.1-5mm,-,-,-,-,Antarctic pollution,-,-,Gurumoorthi K, Luis AJ. Recent trends on microplastic abundance and risk assessment in coastal Antarctica: Regional meta-analysis. Environ Pollut. 2023;324:121385.
22,Heo SJ,2025,A systematic review and quality assessment of estimated daily intake of microplastics through food,Rev Environ Health,Review,Human,-,Systematic Review,-,-,-,-,-,-,Daily intake estimation,-,-,Heo SJ, Moon N, Kim JH. A systematic review and quality assessment of estimated daily intake of microplastics through food. Rev Environ Health. 2025;40(2):371-92.
23,Huang F,2023,Microplastics may increase the environmental risks of Cd via promoting Cd uptake by plants: A meta-analysis,J Hazard Mater,Review,Plant,-,Meta-analysis,-,PS,PE,,-,10mg/L,Multiple,-,Cadmium uptake,Cd pollution enhanced,-,-,Huang F, Hu J, Chen L, Wang Z, Sun S, Zhang W, et al. Microplastics may increase the environmental risks of Cd via promoting Cd uptake by plants: A meta-analysis. J Hazard Mater. 2023;448:130887.
24,Hunt K,2024,Exposure to microplastics and human reproductive outcomes: A systematic review,Bjog,Review,Human,-,Systematic Review,-,-,-,-,-,-,Reproductive effects,-,-,Hunt K, Davies A, Fraser A, Burden C, Howell A, Buckley K, et al. Exposure to microplastics and human reproductive outcomes: A systematic review. Bjog. 2024;131(5):675-83.
25,Inam Ö,2025,Impact of microplastics on female reproductive health: insights from animal and human experimental studies: a systematic review,Arch Gynecol Obstet,Review,Human/Animal,-,Systematic Review,-,PS,PE,,-,1mg/L,Oral,,Female reproduction,-,-,Inam Ö. Impact of microplastics on female reproductive health: insights from animal and human experimental studies: a systematic review. Arch Gynecol Obstet. 2025;312(1):77-92.
26,Iqbal S,2024,Do Added Microplastics, Native Soil Properties, and Prevailing Climatic Conditions Have Consequences for Carbon and Nitrogen Contents in Soil? A Global Data Synthesis of Pot and Greenhouse Studies,Environ Sci Technol,Review,Soil,-,Meta-analysis,-,PS,PE,PVC,-,-,Soil exposure,-,C/N dynamics,-,-,Iqbal S, Xu J, Arif MS, Worthy FR, Jones DL, Khan S, et al. Do Added Microplastics, Native Soil Properties, and Prevailing Climatic Conditions Have Consequences for Carbon and Nitrogen Contents in Soil? A Global Data Synthesis of Pot and Greenhouse Studies. Environ Sci Technol. 2024;58(19):8464-79.
27,Iqbal S,2024,Could soil microplastic pollution exacerbate climate change? A meta-analysis of greenhouse gas emissions and global warming potential,Environ Res,Review,Soil,-,Meta-analysis,-,Multiple Polymers,-,-,-,Soil incorporation,-,GHG emissions increased,-,-,Iqbal S, Xu J, Saleem Arif M, Shakoor A, Worthy FR, Gui H, et al. Could soil microplastic pollution exacerbate climate change? A meta-analysis of greenhouse gas emissions and global warming potential. Environ Res. 2024;252(Pt 2):118945.
28,Jangid H,2025,Microplastic contamination in fish: A systematic global review of trends, health risks, and implications for consumer safety,Mar Pollut Bull,Review,Animal/Human,-,Systematic Review,-,Multiple,-,-,-,-,Fish contamination,-,-,Jangid H, Dutta J, Karnwal A, Kumar G. Microplastic contamination in fish: A systematic global review of trends, health risks, and implications for consumer safety. Mar Pollut Bull. 2025;219:118279.
29,Jia Y,2024,Microplastics alter the equilibrium of plant-soil-microbial system: A meta-analysis,Ecotoxicol Environ Saf,Review,Plant/Soil/Microbial,-,Meta-analysis,-,PS,PE,PET,-,-,Soil incorporation,-,Soil microbiome changes,-,-,Jia Y, Cheng Z, Peng Y, Yang G. Microplastics alter the equilibrium of plant-soil-microbial system: A meta-analysis. Ecotoxicol Environ Saf. 2024;272:116082.
30,Khu ST,2025,Microplastics in drinking water distribution systems: Occurrence, environmental behavior, and human health concerns,Environ Pollut,Review,Environmental/Human,-,Review,-,PP,PE,PVC,-,-,-,-,Drinking water safety,-,-,Khu ST, Li F, Zhao W. Microplastics in drinking water distribution systems: Occurrence, environmental behavior, and human health concerns. Environ Pollut. 2025;382:126666.
31,Kumar M,2024,Impacts of microplastics on ecosystem services and their microbial degradation: a systematic review of the recent state of the art and future prospects,Environ Sci Pollut Res,Review,Environmental/Microbial,-,Systematic Review,-,-,-,-,-,-,Ecosystem impacts,-,-,Kumar M, Chaudhary V, Chaudhary V, Srivastav AL, Madhav S. Impacts of microplastics on ecosystem services and their microbial degradation: a systematic review of the recent state of the art and future prospects. Environ Sci Pollut Res Int. 2024;31(55):63524-75.
32,Kutralam-Muniasamy G,2025,Do microbial decomposers find micro- and nanoplastics to be harmful stressors in the aquatic environment? A systematic review of in vitro toxicological research,Sci Total Environ,Review,Environmental/Microbial,-,Systematic Review,-,-,-,-,-,-,Microbial toxicity,-,-,Kutralam-Muniasamy G, Shruti VC, Pérez-Guevara F. Do microbial decomposers find micro- and nanoplastics to be harmful stressors in the aquatic environment? A systematic review of in vitro toxicological research. Sci Total Environ. 2023;903:166561.
33,Lee J,2023,Approach to an answer to "How dangerous microplastics are to the human body": A systematic review of the quantification of MPs and simultaneously exposed chemicals,J Hazard Mater,Review,Human,-,Systematic Review,-,-,-,-,-,-,Human exposure,-,-,Lee J, Jeong S. Approach to an answer to "How dangerous microplastics are to the human body": A systematic review of the quantification of MPs and simultaneously exposed chemicals. J Hazard Mater. 2023;460:132404.
